(Update 2022/04/07) 地方 region	region	登場回数 appearance (auto)	割合 ratio (auto)	割合の合計 sum of ratio (auto)	登場確率(%) probability of appearance (auto)	登場確率 probability of appearance (auto)
全地方(全ポケモン)	All Region (All Pokémon)	55	100.00%	100.00%	3.9398%	0.0393982808
カントー	Kanto	21	38.18%	38.18%	1.5043%	0.01504297994
ジョウト	Johto	9	16.36%	54.55%	0.6447%	0.006446991404
ホウエン	Hoenn	14	25.45%	80.00%	1.0029%	0.0100286533
シンオウ	Sinnoh	10	18.18%	98.18%	0.7163%	0.007163323782
イッシュ	Unova	0	0.00%	98.18%	0.0000%	0
カロス	Kalos	0	0.00%	98.18%	0.0000%	0
アローラ	Alola	1	1.82%	100.00%	0.0716%	0.0007163323782
ポケモンGO	Pokémon GO	0	0.00%	100.00%	0.0000%	0
ガラル	Galar	0	0.00%	100.00%	0.0000%	0
