(Update 2022/04/19) 名称 Name	Name	値 Value	値/夢数(%) Value/Dreams(%)	値/夢数 Value/Dreams
夢数	Dreams	1422	100.00%	1
夢日数	Days to dream	820	57.67%	0.576652602
原文文字数	Word count in the original text	222178	15624.33%	156.2433193
物語文字数	Word count in story	240506	16913.22%	169.1322082
夢に登場する実在人物の実人数	Actual number of real people who appear in dreams	345	24.26%	0.2426160338
夢に登場する実在人物の延べ人数	Total number of real people who appear in dreams	1488	104.64%	1.046413502
夢に登場する有名人の実人数	Actual number of famous people who appear in dreams	43	3.02%	0.03023909986
夢に登場するポケモンの延べ人数	Total number of Pokémon who appear in dreams	55	3.87%	0.03867791842
夢に登場する生き物の延べ人数	Total number of animal who appear in dreams	79	5.56%	0.05555555556
夢に登場するキャラクター(架空の人物)の延べ人数	Total number of fictitious people who appear in dreams	191	13.43%	0.1343178622
ポケモンに関連する夢数	Dreams related to Pokémon	79	5.56%	0.05555555556
